PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Has_Cabin,FamilySize
1,0,3,"Jones, Mr. Charles",male,47.7,1,0,A/7912,7.57,B74,S,1,2
2,1,3,"Taylor, Miss. Ida",female,56.9,0,0,A/7924,13.12,,Q,0,1
3,0,2,"Johnson, Mr. Frank",male,56.7,2,1,A/9785,20.62,,S,0,4
4,0,2,"Miller, Mr. Charles",male,34.2,0,0,A/2307,53.49,,S,0,1
5,1,3,"Williams, Miss. Margaret",female,49.4,2,0,A/3803,16.61,,S,0,3
6,1,2,"Taylor, Miss. Elizabeth",female,54.5,0,0,A/6168,33.05,E50,S,1,1
7,1,3,"Wilson, Miss. Emma",female,39.7,0,2,A/8019,23.16,,S,0,3
8,0,3,"Johnson, Mr. John",male,35.0,0,1,A/2040,13.93,,S,0,2
9,0,2,"Smith, Mr. William",male,19.4,2,0,A/2827,28.21,,S,0,3
10,1,3,"Taylor, Miss. Emma",female,37.1,2,0,A/9317,17.96,,C,0,3
11,1,3,"Taylor, Miss. Mary",female,8.7,0,0,A/4923,8.04,,Q,0,1
12,1,1,"Johnson, Mr. James",male,38.9,0,2,A/7932,291.8,E98,S,1,3
13,0,2,"Miller, Miss. Alice",female,18.1,0,0,A/1344,41.47,,S,0,1
14,0,1,"Brown, Mr. William",male,5.9,0,0,A/8953,119.27,B83,S,1,1
15,1,2,"Davis, Mr. Charles",male,25.4,1,1,A/1887,45.3,,S,0,3
16,0,2,"Johnson, Mr. Charles",male,10.7,0,0,A/8579,26.24,,S,0,1
17,0,3,"Smith, Mr. John",male,59.6,0,1,A/8956,15.66,,Q,0,2
18,0,1,"Davis, Mr. George",male,20.7,2,2,A/8973,105.6,C37,Q,1,5
19,1,3,"Miller, Mr. John",male,64.4,1,0,A/1931,24.29,B18,S,1,2
20,0,3,"Johnson, Mr. Charles",male,35.0,0,1,A/9565,12.69,,S,0,2
21,0,2,"Williams, Mr. George",male,65.6,0,1,A/2638,18.3,,S,0,2
22,1,3,"Brown, Miss. Margaret",female,38.5,0,2,A/9666,7.14,,S,0,3
23,1,3,"Williams, Miss. Minnie",female,37.1,1,0,A/5462,12.07,,S,0,2
24,1,3,"Taylor, Miss. Alice",female,4.5,2,1,A/5533,7.79,,S,0,4
25,0,3,"Wilson, Mr. Joseph",male,35.0,2,0,A/9938,7.65,,S,0,3
26,0,2,"Miller, Mr. John",male,18.2,0,0,A/7658,58.82,,Q,0,1
27,1,1,"Williams, Mr. Joseph",male,23.9,1,0,A/5371,106.62,A58,C,1,2
28,0,3,"Wilson, Mr. Frank",male,16.7,0,0,A/7528,12.91,,Q,0,1
29,0,2,"Davis, Mr. Frank",male,34.2,0,0,A/5349,16.72,,S,0,1
30,0,3,"Taylor, Mr. William",male,18.6,2,1,A/1027,16.36,,S,0,4
31,1,3,"Brown, Miss. Margaret",female,64.5,1,0,A/3041,19.96,,S,0,2
32,0,2,"Jones, Mr. James",male,27.2,2,0,A/5930,33.27,,S,0,3
33,1,1,"Anderson, Miss. Margaret",female,15.7,1,0,A/2389,135.27,E52,S,1,2
34,0,3,"Jones, Mr. Charles",male,35.0,0,0,A/8784,18.0,,S,0,1
35,0,3,"Davis, Mr. Thomas",male,35.0,2,0,A/2746,21.01,,C,0,3
36,0,3,"Taylor, Mr. Charles",male,35.0,0,1,A/9702,24.78,,Q,0,2
37,0,3,"Taylor, Mr. Joseph",male,62.9,2,1,A/8373,11.67,,S,0,4
38,0,3,"Brown, Mr. George",male,17.2,0,0,A/9849,8.45,,S,0,1
39,1,1,"Davis, Mr. Joseph",male,5.3,1,1,A/1320,267.05,E58,S,1,3
40,0,3,"Davis, Mr. Joseph",male,56.2,0,1,A/4595,11.91,,S,0,2
41,0,3,"Williams, Miss. Alice",female,37.9,1,2,A/1444,8.51,,C,0,4
42,0,1,"Miller, Mr. Charles",male,61.7,0,1,A/5133,262.03,D12,C,1,2
43,1,1,"Brown, Miss. Anna",female,53.0,0,0,A/1333,212.91,B26,S,1,1
44,1,1,"Wilson, Miss. Minnie",female,34.7,1,0,A/3683,291.89,A84,S,1,2
45,0,2,"Davis, Miss. Ida",female,43.45,1,0,A/2669,46.37,,S,0,2
46,1,3,"Anderson, Miss. Mary",female,26.6,1,0,A/1207,22.29,,S,0,2
47,0,3,"Wilson, Mr. James",male,67.6,0,2,A/9817,20.94,,C,0,3
48,0,3,"Brown, Mr. William",male,52.8,1,2,A/7209,13.06,,S,0,4
49,0,3,"Jones, Mr. Frank",male,61.7,1,0,A/9464,24.07,D72,S,1,2
50,0,2,"Wilson, Mr. Thomas",male,34.2,0,1,A/4986,28.78,,S,0,2
51,0,3,"Taylor, Mr. Frank",male,22.2,0,0,A/4155,12.68,,Q,0,1
52,0,3,"Wilson, Mr. George",male,37.2,0,0,A/4180,12.33,,S,0,1
53,0,3,"Smith, Mr. John",male,9.7,1,0,A/1200,17.33,,S,0,2
54,0,1,"Wilson, Mr. William",male,6.1,2,0,A/3485,104.32,E48,S,1,3
55,0,2,"Davis, Mr. Charles",male,63.7,0,2,A/8025,28.74,,S,0,3
56,1,3,"Brown, Miss. Elizabeth",female,37.1,0,0,A/2229,9.82,,S,0,1
57,0,3,"Jones, Mr. George",male,48.4,0,2,A/4241,14.65,,S,0,3
58,1,3,"Johnson, Miss. Mary",female,52.7,1,0,A/8195,9.24,,S,0,2
59,1,3,"Wilson, Mr. Thomas",male,35.0,1,0,A/5102,7.47,,S,0,2
60,0,3,"Smith, Mr. George",male,13.1,1,1,A/5557,10.27,,S,0,3
61,0,3,"Miller, Mr. Joseph",male,60.2,0,1,A/9117,12.19,,C,0,2
62,0,3,"Miller, Mr. George",male,28.9,1,0,A/9889,15.32,E56,S,1,2
63,0,3,"Smith, Mr. Charles",male,35.0,0,1,A/8941,9.19,,S,0,2
64,0,1,"Taylor, Mr. John",male,30.9,0,1,A/2924,218.97,B73,Q,1,2
65,0,2,"Davis, Miss. Alice",female,39.0,1,0,A/9327,48.58,A45,C,1,2
66,0,3,"Taylor, Mr. George",male,21.6,1,2,A/9022,22.57,,S,0,4
67,0,2,"Davis, Miss. Alice",female,68.7,0,2,A/7274,25.51,,S,0,3
68,0,3,"Davis, Miss. Ida",female,46.0,0,1,A/1606,9.27,,S,0,2
69,1,1,"Johnson, Miss. Alice",female,34.7,2,0,A/2225,177.98,C53,S,1,3
70,0,2,"Miller, Mr. Joseph",male,62.2,1,2,A/1588,42.79,,S,0,4
71,0,2,"Johnson, Mr. Joseph",male,49.6,0,1,A/3725,46.23,,S,0,2
72,1,3,"Miller, Mr. Joseph",male,40.0,0,0,A/3868,8.42,,S,0,1
73,1,2,"Williams, Miss. Elizabeth",female,18.6,0,1,A/5712,45.49,,S,0,2
74,0,2,"Davis, Mr. George",male,70.0,1,0,A/4886,32.16,,S,0,2
75,1,3,"Davis, Mr. George",male,54.7,0,2,A/9138,21.99,,C,0,3
76,1,1,"Brown, Miss. Elizabeth",female,50.7,2,0,A/2591,277.78,A49,C,1,3
77,0,1,"Williams, Mr. William",male,29.7,0,0,A/9837,271.59,C77,S,1,1
78,0,2,"Wilson, Mr. George",male,8.9,0,0,A/4696,53.71,,Q,0,1
79,0,3,"Miller, Miss. Anna",female,37.1,1,0,A/8451,13.63,,S,0,2
80,0,2,"Miller, Mr. William",male,43.7,1,0,A/4626,44.14,,S,0,2
81,1,3,"Johnson, Mr. James",male,35.0,1,0,A/2592,11.23,,S,0,2
82,1,2,"Taylor, Miss. Ida",female,62.1,2,0,A/9017,42.7,,S,0,3
83,0,3,"Wilson, Mr. Charles",male,35.0,2,0,A/9920,23.23,,S,0,3
84,1,2,"Wilson, Miss. Anna",female,42.2,0,0,A/6464,25.96,E36,S,1,1
85,0,3,"Brown, Mr. Charles",male,35.0,1,0,A/5542,22.45,B79,S,1,2
86,1,1,"Smith, Miss. Emma",female,17.4,0,0,A/3854,131.03,B63,S,1,1
87,0,3,"Miller, Mr. William",male,43.4,2,2,A/5941,15.24,,S,0,5
88,0,3,"Johnson, Mr. Thomas",male,63.0,0,2,A/3430,8.18,,S,0,3
89,0,3,"Anderson, Mr. George",male,7.8,2,0,A/4522,14.74,,S,0,3
90,0,3,"Johnson, Mr. Frank",male,26.8,0,1,A/2099,8.64,D22,C,1,2
91,0,2,"Smith, Mr. Frank",male,61.3,1,0,A/5712,42.02,,S,0,2
92,1,1,"Brown, Miss. Anna",female,8.9,0,2,A/4705,255.66,E89,S,1,3
93,0,3,"Jones, Mr. John",male,22.3,0,0,A/1100,10.27,D18,S,1,1
94,0,3,"Taylor, Mr. Charles",male,11.9,0,0,A/2391,22.9,,C,0,1
95,0,1,"Wilson, Mr. Joseph",male,19.8,1,0,A/6655,168.88,C96,S,1,2
96,1,3,"Smith, Miss. Elizabeth",female,1.5,0,0,A/3248,20.75,,S,0,1
97,0,3,"Williams, Mr. Joseph",male,39.6,2,0,A/2180,14.15,,S,0,3
98,0,3,"Miller, Mr. Joseph",male,29.8,0,1,A/1341,24.39,,Q,0,2
99,1,3,"Miller, Miss. Anna",female,37.1,1,2,A/7560,16.43,,S,0,4
100,0,2,"Williams, Mr. William",male,34.2,1,0,A/6724,30.8,,S,0,2
101,1,1,"Jones, Mr. Charles",male,30.9,2,0,A/3902,288.8,D69,C,1,3
102,0,3,"Anderson, Mr. Frank",male,11.4,0,1,A/8245,18.36,,S,0,2
103,1,2,"Wilson, Mr. Thomas",male,20.8,2,0,A/9307,32.3,,Q,0,3
104,0,3,"Anderson, Mr. Charles",male,11.4,0,1,A/2695,21.6,,Q,0,2
105,0,1,"Smith, Mr. Charles",male,37.2,1,0,A/6962,155.76,C59,S,1,2
106,0,2,"Miller, Mr. William",male,27.7,0,2,A/3463,30.0,,S,0,3
107,1,2,"Davis, Miss. Emma",female,22.4,1,0,A/3093,45.16,,C,0,2
108,1,3,"Davis, Mr. Frank",male,66.6,0,1,A/4145,11.08,A47,C,1,2
109,1,1,"Taylor, Miss. Mary",female,43.6,1,1,A/3527,107.32,E31,C,1,3
110,0,1,"Brown, Mr. Thomas",male,55.1,0,2,A/4918,141.18,D34,S,1,3
111,0,3,"Wilson, Miss. Minnie",female,29.9,0,0,A/3267,22.71,D57,S,1,1
112,1,1,"Johnson, Miss. Minnie",female,34.7,1,2,A/3414,261.14,A38,C,1,4
113,1,3,"Davis, Miss. Mary",female,27.6,0,0,A/4678,7.51,,C,0,1
114,1,3,"Williams, Miss. Mary",female,49.0,0,1,A/8349,18.08,,S,0,2
