PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Jones, Mr. Charles",male,47.7,1,0,A/7912,7.57,B74,S
2,1,3,"Taylor, Miss. Ida",female,56.9,0,0,A/7924,13.12,,Q
3,0,2,"Johnson, Mr. Frank",male,56.7,2,1,A/9785,20.62,,S
4,0,2,"Miller, Mr. Charles",male,,0,0,A/2307,53.49,,S
5,1,3,"Williams, Miss. Margaret",female,49.4,2,0,A/3803,16.61,,S
6,1,2,"Taylor, Miss. Elizabeth",female,54.5,0,0,A/6168,33.05,E50,S
7,1,3,"Wilson, Miss. Emma",female,39.7,0,2,A/8019,23.16,,S
8,0,3,"Johnson, Mr. John",male,,0,1,A/2040,13.93,,S
9,0,2,"Smith, Mr. William",male,19.4,2,0,A/2827,28.21,,S
10,1,3,"Taylor, Miss. Emma",female,,2,0,A/9317,17.96,,C
11,1,3,"Taylor, Miss. Mary",female,8.7,0,0,A/4923,8.04,,Q
12,1,1,"Johnson, Mr. James",male,38.9,0,2,A/7932,291.8,E98,S
13,0,2,"Miller, Miss. Alice",female,18.1,0,0,A/1344,41.47,,S
14,0,1,"Brown, Mr. William",male,5.9,0,0,A/8953,119.27,B83,S
15,1,2,"Davis, Mr. Charles",male,25.4,1,1,A/1887,45.3,,S
16,0,2,"Johnson, Mr. Charles",male,10.7,0,0,A/8579,26.24,,S
17,0,3,"Smith, Mr. John",male,59.6,0,1,A/8956,15.66,,Q
18,0,1,"Davis, Mr. George",male,20.7,2,2,A/8973,105.6,C37,Q
19,1,3,"Miller, Mr. John",male,64.4,1,0,A/1931,24.29,B18,S
20,0,3,"Johnson, Mr. Charles",male,,0,1,A/9565,12.69,,S
21,0,2,"Williams, Mr. George",male,65.6,0,1,A/2638,18.3,,S
22,1,3,"Brown, Miss. Margaret",female,38.5,0,2,A/9666,7.14,,S
23,1,3,"Williams, Miss. Minnie",female,,1,0,A/5462,12.07,,S
24,1,3,"Taylor, Miss. Alice",female,4.5,2,1,A/5533,7.79,,S
25,0,3,"Wilson, Mr. Joseph",male,,2,0,A/9938,7.65,,S
26,0,2,"Miller, Mr. John",male,18.2,0,0,A/7658,58.82,,Q
27,1,1,"Williams, Mr. Joseph",male,23.9,1,0,A/5371,106.62,A58,C
28,0,3,"Wilson, Mr. Frank",male,16.7,0,0,A/7528,12.91,,Q
29,0,2,"Davis, Mr. Frank",male,,0,0,A/5349,16.72,,S
30,0,3,"Taylor, Mr. William",male,18.6,2,1,A/1027,16.36,,S
31,1,3,"Brown, Miss. Margaret",female,64.5,1,0,A/3041,19.96,,S
32,0,2,"Jones, Mr. James",male,27.2,2,0,A/5930,33.27,,S
33,1,1,"Anderson, Miss. Margaret",female,15.7,1,0,A/2389,135.27,E52,S
34,0,3,"Jones, Mr. Charles",male,,0,0,A/8784,18.0,,S
35,0,3,"Davis, Mr. Thomas",male,,2,0,A/2746,21.01,,C
36,0,3,"Taylor, Mr. Charles",male,,0,1,A/9702,24.78,,Q
37,0,3,"Taylor, Mr. Joseph",male,62.9,2,1,A/8373,11.67,,S
38,0,3,"Brown, Mr. George",male,17.2,0,0,A/9849,8.45,,S
39,1,1,"Davis, Mr. Joseph",male,5.3,1,1,A/1320,267.05,E58,S
40,0,3,"Davis, Mr. Joseph",male,56.2,0,1,A/4595,11.91,,S
41,0,3,"Williams, Miss. Alice",female,37.9,1,2,A/1444,8.51,,C
42,0,1,"Miller, Mr. Charles",male,61.7,0,1,A/5133,262.03,D12,C
43,1,1,"Brown, Miss. Anna",female,53.0,0,0,A/1333,212.91,B26,S
44,1,1,"Wilson, Miss. Minnie",female,,1,0,A/3683,291.89,A84,S
45,0,2,"Davis, Miss. Ida",female,,1,0,A/2669,46.37,,S
46,1,3,"Anderson, Miss. Mary",female,26.6,1,0,A/1207,22.29,,S
47,0,3,"Wilson, Mr. James",male,67.6,0,2,A/9817,20.94,,C
48,0,3,"Brown, Mr. William",male,52.8,1,2,A/7209,13.06,,S
49,0,3,"Jones, Mr. Frank",male,61.7,1,0,A/9464,24.07,D72,S
50,0,2,"Wilson, Mr. Thomas",male,,0,1,A/4986,28.78,,S
51,0,3,"Taylor, Mr. Frank",male,22.2,0,0,A/4155,12.68,,Q
52,0,3,"Wilson, Mr. George",male,37.2,0,0,A/4180,12.33,,S
53,0,3,"Smith, Mr. John",male,9.7,1,0,A/1200,17.33,,S
54,0,1,"Wilson, Mr. William",male,6.1,2,0,A/3485,104.32,E48,S
55,0,2,"Davis, Mr. Charles",male,63.7,0,2,A/8025,28.74,,S
56,1,3,"Brown, Miss. Elizabeth",female,,0,0,A/2229,9.82,,S
57,0,3,"Jones, Mr. George",male,48.4,0,2,A/4241,14.65,,S
58,1,3,"Johnson, Miss. Mary",female,52.7,1,0,A/8195,9.24,,S
59,1,3,"Wilson, Mr. Thomas",male,,1,0,A/5102,7.47,,S
60,0,3,"Smith, Mr. George",male,13.1,1,1,A/5557,10.27,,S
61,0,3,"Miller, Mr. Joseph",male,60.2,0,1,A/9117,12.19,,C
62,0,3,"Miller, Mr. George",male,28.9,1,0,A/9889,15.32,E56,S
63,0,3,"Smith, Mr. Charles",male,,0,1,A/8941,9.19,,S
64,0,1,"Taylor, Mr. John",male,,0,1,A/2924,218.97,B73,Q
